"","hy.id","c.ranef","c.ranef.sd","c.blups","c.expontd.blups","n.ranef","n.ranef.sd","n.blups","n.expontd.blups","g.ranef","g.ranef.sd","g.blups","g.expontd.blups"
"1","bnt",5.89134088491502e-10,1.70547247107054e-05,-0.205181307500008,0.814499628131989,-0.0177926998466989,0.0677548290571412,-0.438974412432774,0.644697275653635,-0.000784911202400818,0.522420383743571,-0.205388941369912,0.814330527978231
"2","chco",4.11332996770894e-10,1.68226393906396e-05,-0.205181307677809,0.81449962798717,-0.025592091165523,0.0612778471134234,-0.446773803751599,0.639688587069824,0.0489296352571074,0.348422796997902,-0.155674394910404,0.855837810155402
"3","decm",8.10522508705329e-10,1.74516389918108e-05,-0.205181307278619,0.81449962831231,0.00646513609768316,0.0507058159044334,-0.414716576488392,0.660527463190902,-0.74271518513555,0.558834366909018,-0.947319215303062,0.387779183792292
"4","gala",-2.25725137751954e-09,2.23769662793872e-05,-0.205181310346393,0.814499625813609,-3.56686570978636e-11,0.0527013171219857,-0.421181712621744,0.65627083787913,-0.000381963453440883,0.52252440597509,-0.204985993620953,0.814658726750427
"5","goof",-4.80229374961847e-09,3.59841386794989e-05,-0.205181312891436,0.814499623740673,0.0369191656747711,0.0945376588511996,-0.384262546911305,0.680952621700589,0.0191357484938443,0.384680642666722,-0.185468281673667,0.830715184058353
"6","gsmk",-1.10073034177629e-09,1.81404398537259e-05,-0.205181309189872,0.814499626755595,0.0108741314077357,0.0572215977768445,-0.41030758117834,0.663446155199866,-0.00389426092092412,0.521635442334392,-0.208498291088436,0.811802421999905
"7","lyco",4.25985299373654e-10,1.68387491239017e-05,-0.205181307663157,0.814499627999104,-0.0370492267417633,0.101728716853834,-0.458230939327839,0.632401412984902,0.074286092018377,0.406139319946451,-0.130317938149135,0.87781629526078
"8","maa",1.9459669887743e-09,2.10451383785463e-05,-0.205181306143175,0.814499629237129,0.0134236444013581,0.0604343875310939,-0.407758068184717,0.66513977783219,-0.00441864971369449,0.521503238793695,-0.209022679881206,0.811376833504536
"9","odd",1.48559612205977e-09,1.93150581129497e-05,-0.205181306603546,0.814499628862157,-0.020663528015381,0.069615931371617,-0.441845240601457,0.642849114700004,-0.00896085097635408,0.520414825774417,-0.213564881143866,0.807699753966557
"10","styr",7.10566228202225e-10,1.72580263855851e-05,-0.205181307378576,0.814499628230895,-0.00640074139656033,0.0535805695298746,-0.427582453982636,0.652083632886888,-0.00385100889884504,0.521650262815656,-0.208455039066357,0.811837534855531
"11","tato",1.10621512716701e-09,1.81551803501345e-05,-0.205181306982927,0.814499628553151,0.0055758098384888,0.0487256745086432,-0.415605902747587,0.659940299901532,0.295618663104575,0.561512097714477,0.0910146329370638,1.09528503237815
"12","tnks",3.85611079238418e-10,1.67956883899407e-05,-0.205181307703531,0.81449962796622,0.0307697862028912,0.0758227601031831,-0.390411926383184,0.676778034343394,0.567793819394697,0.36167181022855,0.363189789227186,1.43790873293333
"13","wrth",2.89341740159719e-10,1.6709972400875e-05,-0.2051813077998,0.814499627887808,0.00560990070234894,0.0535907135365315,-0.415571811883727,0.659962798219943,-0.0447661820275543,0.513557487238915,-0.249370212195066,0.779291416788405
