"","hy.id","log.cort","cort","n.fec.corticost","mean.fec.corticost","sd.fec.corticost"
"1","adon",3.8967946780467,49.2443518625063,18,102.36,95.81
"2","alfe",4.17631494051099,65.1254194348405,6,144.21,175.18
"3","ali",3.79975074319772,44.6900438074992,8,98.69,70.23
"4","alls",4.17777162601438,65.2203558186729,1,144.38,NA
"5","amaz",3.78005540872463,43.8184695938265,7,137.15,194.98
"6","aqua",4.6639843809126,106.057816162619,3,443.07,421.48
"7","arg",3.62608932966134,37.5656222258109,7,79.97,86.11
"8","arro",3.74566156869502,42.3370067943312,2,45.13,26.02
"9","art",4.08560910328519,59.4781550597275,13,117.24,74.08
"10","atac",3.79295760145613,44.3874868252117,7,105.9,172.19
"11","avce",4.02746148410186,56.1182731506184,1,49.35,NA
"12","bab",4.20307401192044,66.8916410184604,7,125.83,66.11
"13","baez",4.12495977587312,61.8653207218087,22,153.57,133.3
"14","bilj",3.66161159667776,38.9240221757103,2,28,31.78
"15","blg",3.98305873349962,53.6809791770172,3,170.55,145.82
"16","blue",3.97246466028777,53.1152807695957,5,77.26,61.01
"17","boom",3.93761946392282,51.2963430429255,4,108.93,145.37
"18","bora",4.04822531697423,57.2956850859005,6,106.04,29.46
"19","brgr",3.48789634216049,32.7170497845487,6,26.85,16.52
"20","brph",4.41262448787634,82.4856622952172,3,102.89,52.24
"21","buar",4.10496257180455,60.640474841586,11,182.89,290.48
"22","butt",3.83485869115215,46.2868864591997,2,45.76,25.53
"23","byte",4.14376537170107,63.0397431851103,3,92.89,58.42
"24","c3po",3.53048504751905,34.1405233754269,5,39.39,22.89
"25","cart",4.42617065733544,83.6106293493427,3,251.74,165.93
"26","cen",4.82842381864585,125.01376092534,5,376.31,504.49
"27","chco",3.47200510364433,32.2012445892779,10,34.96,21.99
"28","cnti",3.75181549867502,42.5983490860176,1,31.21,NA
"29","crim",3.49652985411085,33.0007356654641,1,8.69,NA
"30","crms",3.25969883304315,26.0416930639378,3,16.98,9.18
"31","cten",3.80448483890377,44.9021123322708,1,19.31,NA
"32","cybr",4.4292603946827,83.8693637382902,4,107.01,39.44
"33","deth",3.3859084287242,29.5448198920594,2,10.29,2.79
"34","dion",3.85010551998033,46.9980222003176,4,53.06,21.28
"35","dk",4.24162358654819,69.5206330235718,3,137.79,6.87
"36","dont",3.7728824906433,43.5052878572367,1,30,NA
"37","dra",3.79805840367182,44.6144770402985,3,40.85,25.62
"38","ein",3.74030630018054,42.1108867619988,2,50.48,49.91
"39","eng",4.23783062943774,69.2574436926759,2,135.36,140.59
"40","erem",3.63466625866667,37.8892055928021,1,27.38,NA
"41","evil",3.73439904772567,41.8628604211555,1,14.5,NA
"42","ffl",4.06948940474788,58.5270713166357,21,132.45,115.64
"43","fuzz",4.09847991373523,60.2486348326753,1,106.2,NA
"44","fxtr",4.29111992129404,73.0482309766802,1,155.59,NA
"45","fyre",3.61507597500755,37.1541686066589,1,23.44,NA
"46","gala",3.88234432452761,48.5378703168043,3,42.07,11.07
