"","fecal.sample.id","androgens.ng.g","androgens.assay.by","androgens.year.assayed","androstenedione.ng.g","androstenedione.assay.by","androstenedione.year.assayed","corticosterone.ng.g","corticosterone.assay.by","corticosterone.year.assayed","estrogen.ng.g","estrogen.assay.by","estrogen.year.assayed","progesterone.ng.g","progesterone.assay.by","progesterone.date.assayed","testosterone.ng.g","testosterone.assay.by","testosterone.date.assayed","hy.id","kaycode","poop.date","poop.time","darting.date","dob","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","sex","status","mom","dad","number.littermates","litrank","dart.age.mon","fec.vs.dart","poop.from.dart.mon","poop.age.mon","poop.mon","migratn.seas","poop.am.pm","state","cycle.start","cycle.stop","trimester","parity","poop.yr","corticosterone.ng.g.log"
"1","3182",752.15,"scj","2012",NA,NA,NA,84.51,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,35.54,"tmm",2016-08-20,"ffl","731",2007-01-26,2007-01-26 18:16:00,NA,"2003-06-28","","talek",NA,"","2003-08-06","","",NA,"","2004-04-29","","",6.5,"","2004-06-23","","",19,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","mp",NA,"1","1",NA,NA,NA,43,1,"none","pm","p",2007-01-24,2007-03-01,3,"a",2007,4.43686987055639
"2","3184",652.33,"scj","2012",NA,NA,NA,9.76,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adon","355",2007-03-06,2007-03-06 18:46:00,NA,"2001-03-20","","talek",NA,"","2001-05-22","","",NA,"","2001-10-08","","",0.5,"","2001-12-06","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-12-04","dls","double check: alive but with disappeared date",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,71.5,3,"none","pm","l",2007-01-02,2008-04-02,4,"d",2007,2.278292400425
"3","3185",191.93,"scj","2012",NA,NA,NA,22.92,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,9.24,"tmm",2016-09-02,"pan","755",2007-05-23,2007-05-23 08:33:00,NA,"2004-05-20","","talek",NA,"","2004-07-01","","",NA,"","2005-03-01","","",1.5,"","2005-03-14","","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-05-21","dead","",NA,"","f","r","mrph",NA,"1","1",NA,NA,NA,36.1,5,"none","am","l",2006-10-26,2007-09-21,4,"a",2007,3.13200989184654
"4","3186",118.32,"scj","2012",NA,NA,NA,141.68,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,5.14,"tmm",2016-08-20,"ffl","731",2007-05-28,2007-05-28 19:02:00,NA,"2003-06-28","","talek",NA,"","2003-08-06","","",NA,"","2004-04-29","","",6.5,"","2004-06-23","","",19,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","mp",NA,"1","1",NA,NA,NA,47,5,"none","pm","l",2007-03-02,2007-10-18,4,"a",2007,4.95357099347458
"5","3187",285.52,"scj","2012",NA,NA,NA,71.19,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,3.86,"tmm",2016-08-20,"ffl","731",2007-05-29,2007-05-29 18:34:00,NA,"2003-06-28","","talek",NA,"","2003-08-06","","",NA,"","2004-04-29","","",6.5,"","2004-06-23","","",19,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","mp",NA,"1","1",NA,NA,NA,47,5,"none","pm","l",2007-03-02,2007-10-18,4,"a",2007,4.26535235911578
"6","3189",NA,NA,NA,NA,NA,NA,20.39,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,16.29,"tmm",2016-08-20,"adon","355",2007-06-07,2007-06-07 18:42:00,NA,"2001-03-20","","talek",NA,"","2001-05-22","","",NA,"","2001-10-08","","",0.5,"","2001-12-06","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-12-04","dls","double check: alive but with disappeared date",NA,"","f","r","mrph",NA,"1","2",NA,NA,NA,74.6,6,"migration","pm","l",2007-01-02,2008-04-02,4,"d",2007,3.01504458458636
"7","3191",317.84,"scj","2012",NA,NA,NA,45.79,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,14.25,"tmm",2016-08-20,"baez","763",2007-06-24,2007-06-24 06:36:00,NA,"2004-10-16","","talek",NA,"","2005-02-13","","",NA,"","2005-07-02","","",1.5,"","2005-08-05","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","bail",NA,"1","1",NA,NA,NA,32.2,6,"migration","am","n",2006-10-16,2008-10-13,0,NA,2007,3.824065726669
"8","3194",279.52,"scj","2012",NA,NA,NA,122.87,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,8.6,"tmm",2016-08-20,"yog","367",2007-07-06,2007-07-06 18:31:00,NA,"2001-11-20","","talek",NA,"","2002-01-07","","",NA,"","2002-10-11","","",4.5,"","2003-04-06","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-05-13","dls","double check: alive but with disappeared date",NA,"","f","r","mp",NA,"0",NA,NA,NA,NA,67.5,7,"migration","pm","o",2006-08-14,2007-07-13,NA,NA,2007,4.81112688587948
"9","3197",76.24,"scj","2012",NA,NA,NA,20.74,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,4.97,"tmm",2016-08-20,"baez","763",2007-07-15,2007-07-15 18:36:00,NA,"2004-10-16","","talek",NA,"","2005-02-13","","",NA,"","2005-07-02","","",1.5,"","2005-08-05","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","bail",NA,"1","1",NA,NA,NA,32.9,7,"migration","pm","n",2006-10-16,2008-10-13,0,NA,2007,3.03206420280138
"10","3198",90.15,"scj","2012",NA,NA,NA,32.65,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,9.89,"tmm",2016-08-20,"baez","763",2007-07-25,2007-07-25 18:36:00,NA,"2004-10-16","","talek",NA,"","2005-02-13","","",NA,"","2005-07-02","","",1.5,"","2005-08-05","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","f","r","bail",NA,"1","1",NA,NA,NA,33.2,7,"migration","pm","n",2006-10-16,2008-10-13,0,NA,2007,3.48584485572244
"11","3199",1865.75,"scj","2012",NA,NA,NA,445.55,"jrg-uno","2012",NA,NA,NA,NA,NA,NA,78.55,"tmm",2016-08-20,"mrph","197",2007-07-27,2007-07-27 18:17:00,NA,"1996-06-25","","talek",NA,"","1996-07-22","","",NA,"","1996-12-24","","",1,"","1997-06-01","","",1,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2011-04-11","dead","lions",NA,"","f","r","bsh",NA,"1","1",NA,NA,NA,133,7,"migration","pm","o",2006-12-31,2007-12-31,NA,NA,2007,6.09930947405873
