"","focal","cub.mins","mom.mins","c","n","ba","bl","g","ca","cl","ma","ml","ua","ul","overlap","fas.date","location","fas.mom","hy.id","stop.fas","fas.format","dob","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","sex","status","mom","dad","number.littermates","litrank","fas.age.mon","fas.mon","migratn.seas.fas","fas.am.pm","dob.yr","mom.state","mom.cycle.start","mom.cycle.stop","mom.trimester","mom.parity","mom.cub1","mom.cub2","mom.parity.binary","fas.yr"
"1","j100",32,33,23,18,0,0,0,1,1,0,1,1,1,32,2012-11-11,"ema nd2 12","sau","koal",2012-11-11 07:06:00,"new","2012-06-04","","serena.n",NA,"","2014-07-02","","",NA,"","2013-04-22","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-04","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-01-14","dls","",NA,"","m","r","sau",NA,"twin","1",5.3,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"2","j101",20,20,20,16,0,0,2,1,1,0,1,0,0,20,2012-11-11,"ema nd2 12","sau","spcd",2012-11-11 07:33:00,"new","2012-06-04","","serena.n",NA,"","2012-07-07","","",NA,"",NA,"","",NA,"","2013-08-04","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-08-21","dls","",NA,"","m","r","sau",NA,"twin",NA,5.3,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"3","j102",35,35,9,0,0,0,0,3,3,1,0,0,0,35,2012-11-11,"ema nd2 12","wafl","trni",2012-11-11 08:31:00,"new","2012-07-04","","serena.n",NA,"","2012-07-12","","",NA,"","2013-02-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","",NA,"","m","r","wafl",NA,"single",NA,4.3,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"4","j103",20,20,20,18,0,0,3,1,2,1,0,0,1,20,2012-11-11,"ema nd2 12","lcs","gobe",2012-11-11 08:54:00,"new","2012-08-10","","serena.n",NA,"","2012-09-16","","",NA,"","2013-02-12","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-05-29","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-04-02","dls","double check: alive but with disappeared date",NA,"","m","r","lcs",NA,"single",NA,3.1,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"5","j104",30,33,21,0,0,0,0,14,16,0,0,0,0,30,2012-11-12,"flashforward d","java","sula",2012-11-12 06:30:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,3.5,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"6","j105",28,33,28,0,0,0,21,3,3,0,0,0,0,28,2012-11-13,"ema nd2 12","ema","drp",2012-11-13 08:32:00,"new","2012-11-05","","serena.n",NA,"","2012-11-07","","",NA,"",NA,"","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-06-03","dls","double check: alive but with disappeared date",NA,"","m","r","ema",NA,"single",NA,0.3,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"7","j106",32,33,30,13,0,0,5,4,4,0,0,0,0,32,2012-11-13,"ema nd2 12","ema","drp",2012-11-13 19:06:00,"new","2012-11-05","","serena.n",NA,"","2012-11-07","","",NA,"",NA,"","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-06-03","dls","double check: alive but with disappeared date",NA,"","m","r","ema",NA,"single",NA,0.3,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"8","j107",26,30,7,0,0,0,0,4,4,0,0,0,0,26,2012-11-14,"flashforward d","java","sula",2012-11-14 18:06:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,3.6,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"9","j108",25,20,2,0,0,0,0,1,2,1,0,0,0,20,2012-11-14,"flashforward d","taj","star",2012-11-14 18:47:00,"new","2012-07-22","","serena.s",NA,"","2012-09-09","","",NA,"","2013-02-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-15","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","m","r","taj",NA,"twin","1",3.8,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"10","j109",30,32,30,28,0,0,0,1,0,1,0,0,1,30,2012-11-14,"flashforward d","mtn","korb",2012-11-14 19:27:00,"new","2012-05-27","","serena.s",NA,"","2012-07-08","","",NA,"","2013-05-19","","",NA,"dengrad info not in table, instead taken from tblhyenas",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","m","r","mtn",NA,"twin",NA,5.6,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"11","j11",23,23,7,0,0,0,0,2,1,0,1,1,1,23,2012-07-19,"krakow den","rbc","hucn",2012-07-19 18:43:00,"new","2011-09-12","","serena.n",NA,"","2012-01-27","","",NA,"","2012-07-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2012-08-24","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2012-11-06","dls","double check: alive but with disappeared date",NA,"","m","r","rbc",NA,"twin","1",10.2,7,"migration","pm",2011,NA,NA,NA,NA,NA,NA,NA,NA,2012
"12","j111",23,28,12,1,0,0,0,6,8,1,0,0,0,18,2012-11-15,"flashforward d","java","sula",2012-11-15 07:24:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,3.6,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"13","j112",33,33,1,0,0,0,0,1,1,0,0,0,0,33,2012-11-15,"ema nd2 12","wafl","trni",2012-11-15 18:47:00,"new","2012-07-04","","serena.n",NA,"","2012-07-12","","",NA,"","2013-02-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","",NA,"","m","r","wafl",NA,"single",NA,4.4,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"14","j113",32,33,25,22,0,0,5,4,4,0,0,0,0,32,2012-11-16,"flashforward d","java","sula",2012-11-16 18:10:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,3.6,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"15","j114",33,33,32,24,0,0,2,4,3,2,2,0,0,33,2012-11-16,"flashforward d","mtn","korb",2012-11-16 18:42:00,"new","2012-05-27","","serena.s",NA,"","2012-07-08","","",NA,"","2013-05-19","","",NA,"dengrad info not in table, instead taken from tblhyenas",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","m","r","mtn",NA,"twin",NA,5.7,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"16","j115",17,17,11,0,0,0,0,5,5,1,0,2,2,17,2012-11-16,"flashforward d","taj","star",2012-11-16 19:03:00,"new","2012-07-22","","serena.s",NA,"","2012-09-09","","",NA,"","2013-02-15","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-08-15","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","m","r","taj",NA,"twin","1",3.8,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"17","j116",14,14,14,9,0,0,1,0,1,0,0,0,0,14,2012-11-17,"flashforward d","java","sula",2012-11-17 06:22:00,"new","2012-07-28","","serena.s",NA,"","2012-10-23","","",NA,"","2013-05-17","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-07","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-07-30","dls","double check: alive but with disappeared date",NA,"","m","r","java",NA,"single",NA,3.7,11,"none","am",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
"18","j117",32,32,23,9,0,0,0,2,3,0,0,0,0,32,2012-11-17,"ema nd2 12","wafl","trni",2012-11-17 18:10:00,"new","2012-07-04","","serena.n",NA,"","2012-07-12","","",NA,"","2013-02-18","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-07-03","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","",NA,"","m","r","wafl",NA,"single",NA,4.5,11,"none","pm",2012,NA,NA,NA,NA,NA,NA,NA,NA,2012
