"","hy.id","c.ranef","c.ranef.sd","c.blups","c.expontd.blups","n.ranef","n.ranef.sd","n.blups","n.expontd.blups","g.ranef","g.ranef.sd","g.blups","g.expontd.blups","n.fas","sex","avg.cub.mins","sd.cub.mins","avg.mom.mins","sd.mom.mins","avg.overlap","sd.overlap","avg.c.mins","sd.c","prop.c","avg.n.mins","sd.n","prop.n","avg.g.mins","sd.g","prop.g","first.fas.date","last.fas.date","fas.format","first.fas.age.mon","last.fas.age.mon","first.fas.yr","dob","dob.yr","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","mom","dad","number.littermates","litrank","mom.parity","mom.parity.binary","mom.cub1","mom.cub2","fas.durtn.mon"
"1","ahi",0.0429889009653507,0.161167745332598,-0.112639289743434,0.893472886831525,0.117022877112124,0.175184976275487,-0.497040114625749,0.608328580448376,-0.216225723791935,0.708331594580523,-2.35488066943349,0.0949048309061741,1,"m",29,NA,25,NA,25,NA,25,NA,1,25,NA,1,0,NA,0,2013-06-06,2013-06-06,"new",4.3,4.3,2013,"2013-01-25",2013,"","talek",NA,"","2013-02-16","","",NA,"","2013-08-26","","",5,"","2013-10-23","","",3.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-07-31","dls","double check: alive but with disappeared date",NA,"","hrpy",NA,"twin",NA,"a","prim","ahi","ika",0
"2","alta",0.0147434769379153,0.155626305564125,-0.140884713770869,0.868589442327184,-0.00399423378244432,0.158188445529463,-0.618057225520318,0.53899055817867,0.149106300360002,0.613567912431931,-1.98954864528155,0.136757137496754,3,"m",20.67,10.5,22,8.89,20,10.54,15.67,14.64,0.78,9.33,9.02,0.47,1.67,2.89,0.08,2013-06-13,2013-06-27,"new",2.6,3.1,2013,"2013-03-26",2013,"","talek",NA,"","2013-06-10","","",NA,"",NA,"dbg","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-11-01","dls","inferred dead",NA,"","bab",NA,"twin",NA,"d","mult","alta","lyco",0.46
"3","ana",-0.171919315897978,0.12475499833381,-0.327547506606763,0.720689052970837,0.111173634552066,0.128482609079105,-0.502889357185807,0.604780705331654,-0.509712757654833,0.545245596766182,-2.64836770329639,0.0707666309751284,6,"f",27,9.44,28,9.84,27,9.44,18.17,13.78,0.67,14.17,14.65,0.52,0.33,0.82,0.01,2013-02-12,2013-08-02,"new",2.4,8,2013,"2012-12-02",2012,"","serena.n",NA,"","2012-12-27","","",NA,"","2013-06-26","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-11-05","","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","digs",NA,"single",NA,NA,NA,NA,NA,5.62
"4","ando",-0.0385578007267335,0.133470918459827,-0.194185991435518,0.823504725198026,0.0311580581027281,0.139080618859693,-0.582904933635145,0.55827425907245,0.200689849631009,0.618061625963214,-1.93796509601055,0.14399667124744,4,"f",25.25,8.62,27.75,6.13,25.25,8.62,18.25,13.1,0.72,13.75,10.08,0.54,2.25,4.5,0.09,2013-05-13,2013-07-22,"new",2.8,5.1,2013,"2013-02-16",2013,"","happy.zebra",NA,"","2013-03-11","","",NA,"","2013-10-06","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-09-27","","",12,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","saw",NA,"twin","1",NA,NA,NA,NA,2.3
"5","baca",0.13074265287213,0.137978528586696,-0.0248855378366547,0.975421554500093,0.171985179940502,0.130910154712994,-0.442077811797371,0.642699623896907,0.370614935932636,0.597664295937679,-1.76804000970892,0.170667167215978,4,"m",25.25,8.62,25.25,8.62,25.25,8.62,23.75,10.21,0.94,22.5,11.96,0.89,0.75,0.96,0.03,2013-07-08,2013-07-29,"new",5.8,6.5,2013,"2013-01-12",2013,"","happy.zebra",NA,"","2013-02-16","","",NA,"","2013-09-24","","",NA,"dengrad info not in table, instead taken from tblhyenas","2014-07-08","error","",76.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2015-11-05","dls","double check: alive but with disappeared date",NA,"","csby",NA,"twin","2",NA,NA,NA,NA,0.69
"6","bilj",0.118555849510084,0.12100301909389,-0.0370723411987004,0.963606424383781,-0.0567087946705927,0.11434919556897,-0.670771786408466,0.511313800422609,-0.632649779694634,0.630613926717611,-2.77130472533619,0.0625803013487836,6,"f",27.17,9.97,28.67,8.19,27.17,9.97,24.67,10.91,0.91,18.67,10.84,0.69,0,0,0,2013-01-12,2013-05-28,"new",3.8,8.3,2013,"2012-09-18",2012,"","serena.n",NA,"","2012-11-12","","",NA,"","2013-06-27","","",NA,"dengrad info not in table, instead taken from tblhyenas","2013-10-09","","",4,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","hkr",NA,"twin","1","a","prim","bilj","crim",4.47
"7","blkt",-0.00610745548619924,0.164059735889175,-0.161735646194984,0.850666051626878,-0.0212238220546028,0.195690913006338,-0.635286813792476,0.529783517305129,-0.0446088494467587,0.75912654131238,-2.18326379508832,0.112673187672931,2,"m",9.5,6.36,7,2.83,7,2.83,3.5,0.71,0.5,0,0,0,0,0,0,2013-04-17,2013-06-06,"new",7.6,9.3,2013,"2012-08-28",2012,"","talek",NA,"","2012-09-25","","",NA,"","2013-06-17","","",0.5,"","2013-08-06","","",33,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-04-12","dead","poison (april 2014 incident)",NA,"","tilt",NA,"single",NA,"b","mult","blkt",NA,1.64
"8","bncl",0.0119718286688933,0.10526459942027,-0.143656362039891,0.866185351089552,0.0347637218739828,0.101978111289023,-0.579299269863891,0.560290841717537,-0.0330436412571577,0.511145283876288,-2.17169858689872,0.11398384092589,9,"m",27.56,6.77,27.56,6.67,27.44,6.73,21.44,7.73,0.78,17.78,10.22,0.65,1.44,3.36,0.05,2013-02-24,2013-06-09,"new",3.7,7.2,2013,"2012-11-03",2012,"","talek",NA,"","2012-12-01","","",NA,"","2013-07-29","","",1,"","2013-09-23","","",8.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2017-06-16","dls","dispersed",NA,"","amaz",NA,"twin",NA,"b","mult","bncl","spng",3.45
"9","bnt",0.0614128447409438,0.161861636630253,-0.0942153459678405,0.910086757623483,-0.029988519131834,0.15647472832124,-0.644051510869707,0.525160414900994,-0.0452233008102874,0.759049395521979,-2.18387824645184,0.112603976744684,1,"f",33,NA,33,NA,33,NA,29,NA,0.88,28,NA,0.85,0,NA,0,2012-09-19,2012-09-19,"new",11.8,11.8,2012,"2011-09-25",2011,"","talek",NA,"","2012-02-04","","",NA,"","2012-07-21","","",0.5,"","2012-09-20","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","mono",NA,"single",NA,"a","prim","bnt",NA,0
"10","brgy",0.0305364443673963,0.139759079369072,-0.125091746341388,0.882415940436544,0.0519548518647395,0.141263021718316,-0.562108139873134,0.570006143652941,0.441719293726578,0.579259879465794,-1.69693565191498,0.183244188556699,4,"u",18,5.48,17.5,6.56,17,6.58,15,4.76,0.88,13.25,3.86,0.78,1.75,2.36,0.1,2013-03-08,2013-04-14,"new",3,4.2,2013,"2012-12-06",2012,"","talek",NA,"","2012-12-27","","",NA,"",NA,"dbg","",NA,"",NA,"dbw","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-04-30","dls","inferred dead",NA,"","mos",NA,"twin",NA,"h","mult","brgy","fush",1.22
