"","hy.id","sample.id","darting.date","dart.age.mon","mom.rank","c.ranef","c.ranef.sd","c.blups","c.expontd.blups","n.ranef","n.ranef.sd","n.blups","n.expontd.blups","g.ranef","g.ranef.sd","g.blups","g.expontd.blups","n.fas","sex","avg.cub.mins","sd.cub.mins","avg.mom.mins","sd.mom.mins","avg.overlap","sd.overlap","avg.c.mins","sd.c","prop.c","avg.n.mins","sd.n","prop.n","avg.g.mins","sd.g","prop.g","first.fas.date","last.fas.date","fas.format","first.fas.age.mon","last.fas.age.mon","first.fas.yr","dob","dob.yr","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","mom","dad","number.littermates","litrank","mom.parity","mom.parity.binary","mom.cub1","mom.cub2","fas.durtn.mon","dart.from.fas","dart.from.fas.days"
"1","alls",910,2013-02-28,15.4,-0.756097561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","bnt",915,2013-05-07,19.4,0.219512195,0.0614128447409438,0.161861636630253,-0.0942153459678405,0.910086757623483,-0.029988519131834,0.15647472832124,-0.644051510869707,0.525160414900994,-0.0452233008102874,0.759049395521979,-2.18387824645184,0.112603976744684,1,"f",33,NA,33,NA,33,NA,29,NA,0.88,28,NA,0.85,0,NA,0,2012-09-19,2012-09-19,"new",11.8,11.8,2012,"2011-09-25",2011,"","talek",NA,"","2012-02-04","","",NA,"","2012-07-21","","",0.5,"","2012-09-20","","",1.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","mono",NA,"single",NA,"a","prim","bnt",NA,0,"before",230
"3","brgr",955,2013-05-28,18.9,0.609756098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","chco",956,2015-01-20,23.9,-0.347560976,0.0969174912665429,0.107235484481213,-0.0587106994422415,0.942979534204857,0.0920838316334752,0.103196686758745,-0.521979160104398,0.593345060243319,0.625122515776156,0.393272278544815,-1.5135324298654,0.220131005598291,10,"f",22.2,10.9,23.9,9.15,22,11.19,20.1,10.47,0.91,16.4,10.55,0.75,2.2,2.3,0.1,2013-03-04,2013-08-06,"new",1.3,6.4,2013,"2013-01-22",2013,"","talek",NA,"","2013-02-12","","",NA,"","2013-12-26","","",17,"","2013-11-17","","",17,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","ffl",NA,NA,NA,"e","mult","chco",NA,5.09,"before",687
"5","cten",NA,2015-08-26,20.2,0.902439024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","decm",1278,2014-07-12,17.9,0.951219512,0.127619776701949,0.124061088601294,-0.0280084140068352,0.972380185153302,0.165591984994578,0.121750037904935,-0.448471006743295,0.638603826475945,-0.119871950536675,0.513187148549826,-2.25852689617823,0.104504317130372,9,"f",14.78,6.98,15.33,6.91,14.33,6.91,14.22,6.98,0.99,12.11,7.64,0.85,0.56,1.13,0.04,2013-02-26,2013-06-20,"new",1.5,5.2,2013,"2013-01-12",2013,"","talek",NA,"","2013-02-07","","",NA,"","2013-08-08","","",1,"","2013-10-31","","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"dls","double check: alive but with disappeared date",NA,"","buar",NA,"twin",NA,"a","prim","byte","decm",3.75,"before",501
"7","fxtr",1124,2013-05-08,18.7,-0.219512195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","gala",1224,2013-09-04,19.9,1,-0.133148008205572,0.164830498846127,-0.288776198914356,0.749179853906658,-2.39198523219319e-07,0.192201295320543,-0.614063230936397,0.54114758826465,-0.0374279760585986,0.761817892656237,-2.17608292170016,0.113485191527043,1,"f",25,NA,29,NA,25,NA,3,NA,0.12,0,NA,0,0,NA,0,2012-12-16,2012-12-16,"new",11.3,11.3,2012,"2012-01-06",2012,"","talek",NA,"","2012-01-08","","",NA,"","2012-09-15","","",1,"","2012-07-17","","",2,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2014-04-12","dead","humans (poison - april 2014)",NA,"","hel",NA,"single",NA,"f","mult","chle","tica",0,"before",262
"9","gofa",1005,2015-05-04,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","goof",1313,2014-09-19,22.2,0.853658537,-0.0360272463724442,0.117313300335338,-0.191655437081229,0.825591287632503,0.205249954856866,0.12376803772986,-0.408813036881008,0.664438446194427,0.54315740678618,0.469787689526867,-1.59549753885538,0.202807598735849,6,"f",27.83,7.6,29,5.48,27.83,7.6,22,12.39,0.79,19.33,15.54,0.69,1.83,1.94,0.07,2013-02-26,2013-08-06,"new",3.5,8.8,2013,"2012-11-12",2012,"","talek.w",NA,"",NA,"","",NA,"",NA,"","",NA,"","2013-10-24","error","",0.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","juno",NA,NA,NA,"c","mult","goof",NA,5.29,"before",570
"11","gsmk",918,2013-05-24,17.7,0.12195122,-0.0699182680373509,0.148738666940198,-0.225546458746135,0.798079981791314,0.100689845226232,0.163132264838692,-0.513373146511641,0.598473431661994,-0.143226413966284,0.727852661228824,-2.28188135960784,0.102091954245226,2,"f",34.5,2.12,34.5,2.12,34.5,2.12,19.5,19.09,0.57,16.5,23.33,0.48,0,0,0,2012-09-18,2012-09-21,"new",9.6,9.7,2012,"2011-12-02",2011,"","talek",NA,"","2012-01-10","","",NA,"","2012-07-18","","",0.5,"","2012-10-13","","",9.5,"",NA,"","",NA,"",NA,NA,NA,NA,NA,"2013-08-17","dls","inferred dead",NA,"","sbl",NA,"twin","2","d","mult","gsmk","tuli",0.1,"before",248
