,id,log.cort,cort,
1,alls,3.69089922,40.08087229,
,bnt,,,
2,brgr,3.145269655,23.22593763,
3,chco,3.284839496,26.70469775,
4,cten,3.4593933,31.797679,
,decm,,,
5,fxtr,4.382013242,79.99892859,
6,gala,3.669241004,39.22212511,
7,gofa,3.031954631,20.7377276,
8,goof,2.327632777,10.25364013,
,gsmk,,,
9,keng,3.944397239,51.64519902,
10,lugi,3.528695883,34.07949496,
11,lyco,3.945727155,51.71392851,
12,maa,4.503871659,90.36632251,
13,merl,3.268838733,26.2808026,
14,neon,3.642360618,38.18186324,
15,odd,4.023073589,55.87257149,
16,pbut,4.208469805,67.25355,
17,pces,3.542878423,34.5662725,
18,reb,3.839521289,46.50320749,
19,roos,3.445338696,31.35390108,
,srg,,,
20,styr,3.785785522,44.07027516,
21,tast,3.150541146,23.34869622,
23,tnks,3.47113966,32.17338828,
24,twst,3.199065274,24.50960971,
25,unag,3.206756121,24.69883609,
26,wrth,3.501751375,33.17350036,
,,,,
22,tato,4.573263469,96.85969313,failed library prep
